date;position;mesure;limite
01/01/2023 01:34;46.43364666666667 1.8324266666666666;54;80
01/01/2023 01:35;47.38674 -0.7571683333333333;78;80
01/01/2023 01:37;47.39950833333333 -0.7550416666666667;62;80
01/01/2023 01:38;47.40974 -0.7557583333333333;57;70
01/01/2023 01:51;46.59113833333333 1.77119;82;90
01/01/2023 01:53;46.597995 1.7953383333333335;70;70
01/01/2023 01:56;47.33405333333333 -0.234125;72;80
01/01/2023 01:56;47.33362833333333 -0.23456333333333335;62;80
01/01/2023 01:56;46.5828 1.8341683333333334;91;90
01/01/2023 02:00;46.57351 1.8846333333333334;76;90
01/01/2023 02:02;46.57161166666667 1.9183616666666667;88;90
01/01/2023 02:02;46.57208333333333 1.9284733333333333;96;90
01/01/2023 02:04;46.576 1.9593316666666667;80;70
01/01/2023 02:12;47.437775 -0.20352833333333334;74;80
01/01/2023 02:15;47.448386666666664 -0.167135;59;80
01/01/2023 02:18;47.45873666666667 -0.11671000000000001;73;80
01/01/2023 02:19;47.45901666666666 -0.10003833333333333;63;80
01/01/2023 02:22;47.656615 -0.8624966666666667;69;80
01/01/2023 02:24;47.637051666666665 -0.8541899999999999;42;80
01/01/2023 02:24;47.635565 -0.84826;69;80
01/01/2023 02:25;47.63042 -0.8444433333333333;78;80
01/01/2023 02:26;47.618248333333334 -0.8400233333333333;95;80
01/01/2023 02:26;47.621581666666664 -0.8412666666666666;84;80
01/01/2023 02:32;47.45863833333333 0.083235;53;70
01/01/2023 02:35;47.49919333333333 0.10390333333333333;67;90
01/01/2023 02:37;47.512545 0.11591;23;80
01/01/2023 02:37;47.517095 -0.8037016666666666;82;80
01/01/2023 02:38;47.513358333333336 0.10490333333333333;55;90
01/01/2023 02:39;47.51468166666667 0.08995333333333333;87;90
01/01/2023 02:41;47.4954 -0.8007449999999999;35;80
01/01/2023 02:43;47.472638333333336 -0.7968916666666667;71;80
01/01/2023 02:43;47.468225 -0.796435;92;80
01/01/2023 02:44;47.524676666666664 0.0011083333333333333;91;90
01/01/2023 02:46;47.69627166666667 -0.8451583333333333;66;80
01/01/2023 02:46;47.449463333333334 -0.7876183333333333;63;80
01/01/2023 02:47;47.691896666666665 -0.86009;54;80
01/01/2023 02:47;47.43879 -0.7810533333333333;52;80
01/01/2023 02:48;47.688071666666666 -0.85983;68;70
01/01/2023 02:48;47.68777333333333 -0.8595283333333333;78;70
01/01/2023 02:49;47.676716666666664 -0.8603500000000001;68;90
01/01/2023 02:50;47.538555 -0.10124166666666666;32;80
01/01/2023 02:50;47.668905 -0.8657466666666667;78;80
01/01/2023 02:50;47.411613333333335 -0.7606116666666666;42;80
01/01/2023 02:53;47.390875 -0.7583766666666667;78;80
01/01/2023 02:54;47.38167833333333 -0.75446;59;80
01/01/2023 02:55;47.623801666666665 -0.8420166666666666;77;80
01/01/2023 02:55;47.376778333333334 -0.7517933333333333;73;80
01/01/2023 02:57;47.606838333333336 -0.8357683333333333;79;80
01/01/2023 02:58;47.599935 -0.8373883333333333;28;80
01/01/2023 02:58;47.350831666666664 -0.76267;40;80
01/01/2023 02:59;47.34696 -0.7617833333333334;46;80
01/01/2023 03:00;47.33579833333334 -0.7489316666666667;100;80
01/01/2023 03:02;47.56200833333333 -0.2773083333333333;90;90
01/01/2023 03:02;47.561965 -0.27665833333333334;88;90
01/01/2023 03:02;47.31678333333333 -0.74502;85;80
01/01/2023 03:03;47.56446 -0.297885;89;90
01/01/2023 03:03;47.565353333333334 -0.3050216666666667;89;90
01/01/2023 03:04;47.57754666666666 -0.943195;92;90
01/01/2023 03:06;47.57060333333333 -0.34627166666666664;41;80
01/01/2023 03:06;47.280945 -0.7300166666666666;37;80
01/01/2023 03:07;47.571665 -0.35685500000000003;49;80
01/01/2023 03:07;47.27986333333333 -0.7293233333333333;36;80
01/01/2023 03:08;47.264923333333336 -0.7306083333333333;69;80
01/01/2023 03:11;47.54352333333333 -0.39875333333333335;83;90
01/01/2023 03:11;47.23579 -0.7245849999999999;53;80
01/01/2023 03:13;47.61206166666667 -0.986215;50;90
01/01/2023 03:16;47.514813333333336 -0.45913166666666666;82;80
01/01/2023 03:17;47.631766666666664 -1.0328916666666668;85;80
01/01/2023 03:26;47.22702833333334 -0.724375;47;80
01/01/2023 03:29;47.224223333333335 -0.7263533333333334;39;80
01/01/2023 03:31;47.224223333333335 -0.7263533333333334;23;80
01/01/2023 03:31;47.224223333333335 -0.7263533333333334;51;80
01/01/2023 03:33;47.182188333333336 -0.7461516666666667;102;90
01/01/2023 03:34;47.64611 -1.0636283333333334;63;80
01/01/2023 03:34;47.17493833333333 -0.7494183333333333;90;90
01/01/2023 03:34;47.16796166666666 -0.7524533333333333;90;90
01/01/2023 03:34;47.17189666666667 -0.75076;80;90
01/01/2023 03:35;47.16025 -0.755875;92;90
01/01/2023 03:35;47.15961 -0.7561616666666667;86;90
01/01/2023 03:38;47.132888333333334 -0.7782383333333333;88;90
01/01/2023 03:39;47.119168333333334 -0.8004116666666667;80;90
01/01/2023 03:40;47.10504666666667 -0.81102;57;90
01/01/2023 03:41;47.102115 -0.8139233333333333;83;90
01/01/2023 03:52;47.093085 -0.8248316666666666;73;90
01/01/2023 03:53;47.10281833333333 -0.8128566666666667;49;90
01/01/2023 03:53;47.10509833333333 -0.8108299999999999;76;90
01/01/2023 03:53;47.10545166666667 -0.810525;83;90
01/01/2023 03:54;47.119571666666666 -0.8002133333333333;82;90
01/01/2023 03:56;47.13151166666667 -0.7802666666666667;77;90
01/01/2023 03:58;47.15481666666667 -0.7580966666666666;67;90
01/01/2023 04:01;47.19204833333333 -0.7411916666666667;84;90
01/01/2023 04:02;47.200021666666665 -0.7323016666666666;63;90
01/01/2023 04:07;47.22771 -0.7234283333333333;57;80
01/01/2023 04:11;47.26119833333333 -0.7307183333333334;85;80
01/01/2023 04:13;47.27882 -0.7292983333333333;35;80
01/01/2023 04:13;47.278578333333336 -0.7292333333333333;44;80
01/01/2023 04:13;47.279445 -0.7294283333333333;43;80
01/01/2023 04:13;47.277528333333336 -0.7290233333333334;48;80
01/01/2023 04:14;47.28231666666667 -0.7335283333333333;36;80
01/01/2023 04:15;47.29401166666667 -0.7391683333333333;81;80
01/01/2023 04:16;47.307291666666664 -0.7423749999999999;79;80
01/01/2023 04:17;47.321495 -0.7408516666666666;86;80
01/01/2023 04:17;47.31630333333333 -0.7446116666666666;83;80
01/01/2023 04:18;47.327868333333335 -0.7412266666666666;84;80
01/01/2023 04:18;47.333551666666665 -0.7460316666666666;87;80
01/01/2023 04:20;47.34711166666666 -0.7617183333333333;36;80
01/01/2023 04:22;47.35420333333333 -0.7624566666666667;48;80
01/01/2023 04:22;47.354018333333336 -0.7623183333333333;40;80
01/01/2023 04:25;47.39120833333333 -0.7580783333333333;68;80
01/01/2023 04:25;47.38930833333333 -0.7585566666666667;71;80
01/01/2023 04:26;47.393568333333334 -0.7563383333333333;66;80
01/01/2023 04:26;47.39536833333333 -0.756835;79;80
01/01/2023 04:32;47.43868333333333 -0.7796616666666666;76;80
01/01/2023 04:32;47.432653333333334 -0.7727483333333333;92;80
01/01/2023 04:32;47.44101666666667 -0.7813800000000001;75;80
01/01/2023 04:37;47.48399 -0.7985316666666668;90;80
01/01/2023 04:43;47.54342666666667 -0.80791;70;80
01/01/2023 04:43;47.548433333333335 -0.808725;35;80
01/01/2023 04:44;47.54864833333333 -0.8087666666666667;39;80
01/01/2023 04:46;47.564655 -0.8160299999999999;79;80
01/01/2023 04:47;47.57277833333333 -0.82029;91;80
01/01/2023 04:48;47.580798333333334 -0.824415;75;80
01/01/2023 04:48;47.58793333333333 -0.8280516666666667;72;80
01/01/2023 04:49;47.599066666666666 -0.83366;54;80
01/01/2023 04:50;47.60198666666667 -0.8342849999999999;31;80
01/01/2023 04:50;47.60386333333334 -0.8344116666666667;58;80
01/01/2023 04:54;47.639651666666666 -0.8582716666666667;53;80
01/01/2023 04:55;47.650106666666666 -0.8608633333333333;79;80
01/01/2023 04:55;47.64265666666667 -0.8589249999999999;66;80
01/01/2023 04:57;47.667188333333335 -0.8652316666666666;82;80
01/01/2023 07:02;47.91950166666667 5.291425;85;80
01/01/2023 07:02;47.912655 5.29014;75;80
01/01/2023 07:08;47.87235166666667 5.331501666666667;56;90
01/01/2023 07:09;48.614023333333336 0.7132616666666666;97;90
01/01/2023 07:15;48.563541666666666 0.6152683333333333;110;80
01/01/2023 07:21;47.80926 5.265908333333333;85;90
01/01/2023 07:27;48.951568333333334 6.305755;80;80
01/01/2023 07:43;48.82404833333333 6.506803333333333;39;80
01/01/2023 07:48;49.11279666666667 7.047783333333333;46;80
01/01/2023 07:48;48.78465333333333 6.566671666666666;78;80
01/01/2023 07:49;49.11228 7.052503333333333;43;80
01/01/2023 07:49;49.11165666666667 7.055323333333333;74;80
01/01/2023 08:00;49.11288833333333 7.11781;75;80
01/01/2023 08:02;49.102896666666666 7.166436666666667;82;80
01/01/2023 08:02;49.10302 7.166205;82;80
01/01/2023 08:04;49.093196666666664 7.1923216666666665;76;80
01/01/2023 08:05;49.08777833333333 7.20089;70;80
01/01/2023 08:14;47.92871 -1.844815;136;110
01/01/2023 08:29;48.806331666666665 6.67607;77;80
01/01/2023 08:29;48.806623333333334 6.677548333333333;74;80
01/01/2023 08:30;48.80264 6.660765;73;70
01/01/2023 08:30;49.811346666666665 4.611945;39;80
01/01/2023 08:30;49.80822166666667 4.616206666666667;53;80
01/01/2023 08:32;49.06027666666667 7.238143333333333;74;80
01/01/2023 08:33;49.772421666666666 4.70742;42;90
01/01/2023 08:33;49.826315 4.600928333333333;88;80
01/01/2023 08:33;49.83114166666667 4.6030750000000005;59;80
01/01/2023 08:34;49.83354666666666 4.603881666666666;45;80
01/01/2023 08:35;49.77709333333333 4.698108333333334;49;80
01/01/2023 08:35;49.839243333333336 4.604173333333334;56;80
01/01/2023 08:36;49.851153333333336 4.6193;81;80
01/01/2023 08:37;48.797025 6.5594133333333335;76;80
01/01/2023 08:38;48.812465 6.538668333333334;85;80
01/01/2023 08:38;49.861036666666664 4.628643333333334;61;80
01/01/2023 08:39;48.81352666666667 6.530385;89;80
01/01/2023 08:40;49.78518 4.666461666666667;76;70
01/01/2023 08:40;49.05007666666667 7.306955;20;80
01/01/2023 08:40;48.81580666666667 6.519106666666667;78;80
01/01/2023 08:41;48.82289333333333 6.50879;31;80
01/01/2023 08:41;49.895266666666664 4.628463333333333;45;80
01/01/2023 08:42;48.82859 6.499491666666667;56;80
01/01/2023 08:42;48.824873333333336 6.50598;53;80
01/01/2023 08:42;49.90737166666667 4.638716666666666;57;90
01/01/2023 08:43;48.83118833333333 6.489991666666667;77;90
01/01/2023 08:44;48.838836666666666 6.468735;93;80
01/01/2023 08:47;48.51537166666667 -0.42876166666666665;77;90
01/01/2023 08:48;48.51806666666667 -0.4440466666666667;46;90
01/01/2023 08:49;48.521006666666665 -0.45074666666666663;69;90
01/01/2023 08:53;49.042903333333335 7.469666666666667;70;80
01/01/2023 08:53;48.53846166666666 -0.48826;65;90
01/01/2023 08:56;48.55254 -0.5231516666666667;83;90
01/01/2023 08:57;49.022013333333334 7.49051;42;80
01/01/2023 08:59;50.009998333333336 4.697661666666667;76;80
01/01/2023 08:59;48.565641666666664 -0.5645416666666667;91;90
01/01/2023 09:01;50.015135 4.724223333333334;81;80
01/01/2023 09:03;48.99691333333333 7.54047;68;80
01/01/2023 09:03;50.028751666666665 4.725445;71;80
01/01/2023 09:04;48.98824166666667 7.564818333333333;66;70
01/01/2023 09:06;48.88751666666667 6.391408333333334;27;80
01/01/2023 09:08;48.894056666666664 6.362901666666667;122;80
01/01/2023 09:09;49.758135 4.653648333333333;139;130
01/01/2023 09:11;48.91595 6.336398333333333;85;80
01/01/2023 09:11;48.58998833333333 -0.6391316666666668;45;80
01/01/2023 09:12;48.997006666666664 7.541845;86;80
01/01/2023 09:13;48.99595166666667 7.518433333333333;76;80
01/01/2023 09:13;50.107933333333335 4.754523333333333;81;80
01/01/2023 09:13;50.11005333333333 4.75945;58;80
01/01/2023 09:13;48.59161666666667 -0.6481733333333334;47;90
01/01/2023 09:14;50.11606833333333 4.770373333333334;66;80
01/01/2023 09:16;50.12161833333333 4.793493333333333;77;80
01/01/2023 09:16;47.809195 5.265795;92;90
01/01/2023 09:17;50.129038333333334 4.8003599999999995;79;80
01/01/2023 09:17;47.81072 5.271823333333334;92;90
01/01/2023 09:17;47.812176666666666 5.281658333333334;93;90
01/01/2023 09:20;48.96858 6.250855;43;80
01/01/2023 09:20;48.56089166666667 -0.7309116666666667;51;90
01/01/2023 09:21;48.559155 -0.747755;82;90
01/01/2023 09:22;49.04506666666666 7.463516666666667;73;80
01/01/2023 09:22;49.04437 7.466121666666667;84;80
01/01/2023 09:22;48.965563333333336 6.228468333333334;73;80
01/01/2023 09:22;50.13238166666667 4.8376850000000005;31;80
01/01/2023 09:23;49.04681333333333 7.45333;88;70
01/01/2023 09:24;49.03919833333333 7.431953333333333;70;80
01/01/2023 09:27;49.03691333333333 7.401973333333333;46;80
01/01/2023 09:27;49.00500666666667 6.20279;37;80
01/01/2023 09:30;49.03205333333333 6.190991666666667;87;80
01/01/2023 09:30;48.559115 -0.76206;67;90
01/01/2023 09:30;48.55927833333333 -0.7657416666666667;100;90
01/01/2023 09:33;49.05803 6.18721;40;80
01/01/2023 09:33;47.88906 5.316421666666667;96;80
01/01/2023 09:34;49.06594833333333 6.1857283333333335;66;80
01/01/2023 09:34;47.903055 5.303413333333333;58;80
01/01/2023 09:35;49.070535 6.184966666666667;60;80
01/01/2023 09:36;50.133291666666665 4.8323;27;80
01/01/2023 09:37;47.92268 5.292046666666667;84;80
01/01/2023 09:37;49.048008333333335 7.290916666666667;64;80
01/01/2023 09:39;50.133161666666666 4.810571666666666;97;70
01/01/2023 09:40;49.09558833333333 6.180705;50;80
01/01/2023 09:40;48.591993333333335 -0.6454133333333334;40;80
01/01/2023 09:41;49.10543166666667 6.179465;28;90
01/01/2023 09:41;50.11863666666667 4.78156;90;80
01/01/2023 09:42;47.920585 5.219593333333333;136;130
01/01/2023 09:42;49.106535 6.179308333333333;33;90
01/01/2023 09:43;50.11477 4.767173333333333;63;80
01/01/2023 09:46;50.09845833333333 4.73815;86;70
01/01/2023 09:46;50.09477 4.733163333333334;68;70
01/01/2023 09:47;47.984105 5.1301966666666665;154;130
01/01/2023 09:47;50.089848333333336 4.726946666666667;43;80
01/01/2023 09:47;50.087718333333335 4.7252616666666665;33;80
01/01/2023 09:47;48.55459 -0.5313716666666667;98;90
01/01/2023 09:47;48.55756 -0.5411533333333334;99;90
01/01/2023 09:48;50.08611 4.724821666666667;44;80
01/01/2023 09:49;50.07870833333333 4.724708333333333;41;80
01/01/2023 09:49;50.07846166666667 4.72468;38;80
01/01/2023 09:50;48.54235 -0.495025;75;90
01/01/2023 09:51;49.10592833333333 7.14803;78;80
01/01/2023 09:52;49.10776833333333 7.132826666666666;75;80
01/01/2023 09:52;49.10934 7.128263333333333;96;80
01/01/2023 09:52;50.04801166666667 4.719573333333333;40;80
01/01/2023 09:54;49.116526666666665 7.104041666666666;59;70
01/01/2023 09:54;49.118656666666666 7.094798333333333;46;80
01/01/2023 09:54;49.118073333333335 7.097386666666667;49;80
01/01/2023 09:54;49.08072833333333 6.18398;49;80
01/01/2023 09:54;48.527278333333335 -0.46607000000000004;40;90
01/01/2023 09:56;49.11778833333333 7.0830866666666665;36;80
01/01/2023 09:56;50.046456666666664 4.719453333333333;81;80
01/01/2023 09:57;49.116503333333334 7.079615;38;90
01/01/2023 09:57;49.05063333333333 6.188133333333333;27;80
01/01/2023 09:59;48.511385 -0.39490333333333333;103;90
01/01/2023 10:01;49.01819833333333 6.202515;29;80
01/01/2023 10:01;48.34086166666667 4.011236666666667;95;90
01/01/2023 10:01;48.34511 4.005235;90;90
01/01/2023 10:01;48.3417 4.01011;87;90
01/01/2023 10:02;49.00924666666667 6.20593;51;80
01/01/2023 10:03;48.36146166666666 3.9779516666666668;79;70
01/01/2023 10:03;48.523601666666664 -3.8689400000000003;75;80
01/01/2023 10:03;48.531465 -3.8719783333333333;56;80
01/01/2023 10:04;48.83672833333333 7.7895;69;80
01/01/2023 10:04;48.924335 4.41422;78;70
01/01/2023 10:04;48.92584 4.412486666666666;68;70
01/01/2023 10:04;48.363475 3.9734366666666667;67;90
01/01/2023 10:05;48.839468333333336 7.786873333333333;83;80
01/01/2023 10:05;48.847145 7.77944;92;80
01/01/2023 10:05;48.272261666666665 4.117815;87;90
01/01/2023 10:05;48.92057666666667 4.418543333333333;112;70
01/01/2023 10:05;48.50853 -3.8740383333333335;40;80
01/01/2023 10:05;48.51390166666667 -3.8709083333333334;29;80
01/01/2023 10:06;48.85113833333333 7.775533333333334;86;80
01/01/2023 10:06;48.84764166666667 7.778941666666666;97;80
01/01/2023 10:07;48.26007833333333 4.11593;87;90
01/01/2023 10:08;48.877356666666664 7.760218333333333;83;80
01/01/2023 10:08;48.87050833333333 7.763253333333333;78;80
01/01/2023 10:08;48.491345 -3.8707616666666667;88;80
01/01/2023 10:09;48.237535 4.121671666666667;83;80
01/01/2023 10:09;48.368228333333334 3.90752;63;80
01/01/2023 10:09;48.48546666666667 -3.870753333333333;76;80
01/01/2023 10:09;48.481296666666665 -3.872345;75;80
01/01/2023 10:11;48.462265 -3.87677;80;80
01/01/2023 10:11;48.46068833333333 -3.8767933333333335;75;80
01/01/2023 10:12;48.90226166666667 7.7466;60;80
01/01/2023 10:12;48.21275833333333 4.151093333333334;76;70
01/01/2023 10:12;48.452135 -3.8790433333333336;72;80
01/01/2023 10:13;48.912958333333336 7.747988333333334;67;80
01/01/2023 10:13;48.20456 4.163446666666666;86;80
01/01/2023 10:13;48.383175 3.85132;84;80
01/01/2023 10:13;48.437018333333334 -3.8861600000000003;79;70
01/01/2023 10:14;48.929025 7.7471;88;80
01/01/2023 10:15;48.93016333333333 7.747433333333333;69;80
01/01/2023 10:16;48.936235 7.743855;40;80
01/01/2023 10:16;48.189995 4.186746666666667;87;80
01/01/2023 10:16;48.793885 4.577211666666667;81;80
01/01/2023 10:16;48.4151 -3.8661933333333334;87;80
01/01/2023 10:17;48.178781666666666 4.204095;81;80
01/01/2023 10:17;48.59462 6.111081666666666;92;80
01/01/2023 10:18;49.7277 4.7152;125;90
01/01/2023 10:18;48.171165 4.215843333333333;27;80
01/01/2023 10:18;48.77742166666667 4.589771666666667;76;70
01/01/2023 10:18;48.77690666666667 4.5897033333333335;76;70
01/01/2023 10:18;48.77690666666667 4.5897033333333335;72;70
01/01/2023 10:18;48.46355333333333 7.460261666666667;83;80
01/01/2023 10:18;48.463566666666665 7.459968333333333;74;80
01/01/2023 10:18;48.578788333333335 6.0956150000000004;90;80
01/01/2023 10:19;49.13777666666667 6.79801;132;110
01/01/2023 10:19;48.166291666666666 4.2248866666666665;63;80
01/01/2023 10:19;48.771903333333334 4.583693333333334;77;90
01/01/2023 10:19;48.462041666666664 7.4515;64;80
01/01/2023 10:19;48.463586666666664 7.456745;74;80
01/01/2023 10:19;48.577486666666665 6.084778333333333;92;80
01/01/2023 10:20;48.763996666666664 4.585043333333333;39;80
01/01/2023 10:20;48.76113 4.587165;102;70
01/01/2023 10:20;48.577668333333335 6.06611;91;80
01/01/2023 10:21;48.748688333333334 4.592593333333333;111;90
01/01/2023 10:21;48.37325 -3.8203966666666664;77;80
01/01/2023 10:21;48.370835 -3.81531;51;80
01/01/2023 10:22;48.149496666666664 4.264;52;80
01/01/2023 10:22;48.403641666666665 3.7349216666666667;44;80
01/01/2023 10:22;48.40358833333333 3.735053333333333;44;80
01/01/2023 10:23;48.14271333333333 4.28171;92;80
01/01/2023 10:24;48.40810333333334 3.7178649999999998;57;80
01/01/2023 10:25;48.14027166666666 4.302885;44;80
01/01/2023 10:25;48.71655333333333 4.634178333333333;77;80
01/01/2023 10:25;48.716058333333336 4.634658333333333;97;80
01/01/2023 10:25;48.71771833333333 4.63307;84;80
01/01/2023 10:25;48.722205 4.628785;88;80
01/01/2023 10:25;48.72385833333333 4.627161666666667;87;80
01/01/2023 10:25;48.72353 4.627488333333333;95;80
01/01/2023 10:25;48.718381666666666 4.632433333333333;76;80
01/01/2023 10:25;48.72434833333333 4.626671666666667;90;80
01/01/2023 10:25;48.72204 4.628945;89;80
01/01/2023 10:26;47.98209166666667 5.569871666666667;62;90
01/01/2023 10:26;47.987136666666665 5.562156666666667;110;90
01/01/2023 10:26;48.135848333333335 4.323528333333333;94;80
01/01/2023 10:26;48.714101666666664 4.636651666666666;84;80
01/01/2023 10:26;48.451836666666665 7.383858333333333;53;80
01/01/2023 10:26;48.42758 3.6884216666666667;80;80
01/01/2023 10:26;48.57553 5.987503333333334;101;90
01/01/2023 10:27;49.007615 7.816251666666666;63;80
01/01/2023 10:27;48.133963333333334 4.330766666666666;136;80
01/01/2023 10:28;47.974545 5.591763333333334;89;90
01/01/2023 10:29;49.016481666666664 7.84162;73;80
01/01/2023 10:29;49.115291666666664 6.662218333333334;65;80
01/01/2023 10:29;48.330585 -3.6963616666666668;82;80
01/01/2023 10:30;48.43167666666667 7.395791666666667;51;80
01/01/2023 10:30;48.442405 3.6470599999999997;61;80
01/01/2023 10:30;48.32431833333333 -3.689033333333333;63;80
01/01/2023 10:30;48.32097 -3.6831233333333335;72;80
01/01/2023 10:31;47.964731666666665 5.636381666666667;90;90
01/01/2023 10:31;47.964665 5.636691666666667;91;90
01/01/2023 10:31;49.115701666666666 6.640125;53;80
01/01/2023 10:31;49.114963333333336 6.637128333333333;51;80
01/01/2023 10:33;48.536195 5.901106666666667;62;80
01/01/2023 10:34;47.95793666666667 5.67846;100;90
01/01/2023 10:34;49.11992166666667 6.610896666666667;73;80
01/01/2023 10:34;48.29264333333333 -3.6350466666666668;75;80
01/01/2023 10:34;48.29498666666667 -3.6402616666666665;78;80
01/01/2023 10:34;48.29236 -3.6338783333333335;78;80
01/01/2023 10:34;48.292496666666665 -3.63447;80;80
01/01/2023 10:35;49.02720333333333 7.898605;75;70
01/01/2023 10:35;48.462705 3.586081666666667;63;80
01/01/2023 10:35;48.288804999999996 -3.6177616666666665;82;80
01/01/2023 10:35;48.28939166666667 -3.620285;82;80
01/01/2023 10:36;49.81773333333334 4.585406666666667;48;80
01/01/2023 10:36;48.828741666666666 6.498801666666667;75;80
01/01/2023 10:36;48.82909 6.497468333333333;85;80
01/01/2023 10:36;48.51488666666667 5.886625;84;80
01/01/2023 10:37;49.815036666666664 4.600746666666667;51;80
01/01/2023 10:37;49.03030833333333 7.91687;70;80
01/01/2023 10:37;49.34659 0.3561033333333333;63;80
01/01/2023 10:37;48.50966833333333 5.882116666666667;94;80
01/01/2023 10:38;47.95441 5.742263333333334;33;80
01/01/2023 10:38;49.81080333333333 4.612431666666667;41;80
01/01/2023 10:38;49.34907333333334 0.36502;72;80
01/01/2023 10:38;48.47627166666667 3.5539083333333332;38;80
01/01/2023 10:39;47.955086666666666 5.750248333333333;28;80
01/01/2023 10:39;49.03262333333333 7.9383783333333335;41;80
01/01/2023 10:39;49.893405 4.628491666666667;76;80
01/01/2023 10:39;48.480938333333334 3.5431733333333333;93;80
01/01/2023 10:39;48.47864 3.5481266666666667;98;80
01/01/2023 10:40;49.35957 0.39712833333333336;94;80
01/01/2023 10:40;48.13160666666667 4.336891666666666;113;80
01/01/2023 10:40;48.13214166666667 4.335841666666667;96;80
01/01/2023 10:40;48.4873 3.5294683333333334;75;80
01/01/2023 10:41;47.939458333333334 5.770436666666667;103;90
01/01/2023 10:41;49.03187833333333 7.951548333333333;38;80
01/01/2023 10:41;49.03221166666667 7.950325;20;80
01/01/2023 10:41;49.36487 0.41002500000000003;46;80
01/01/2023 10:41;49.3648 0.407775;33;80
01/01/2023 10:42;49.78595333333333 4.668206666666666;60;80
01/01/2023 10:42;49.78526 4.6670066666666665;72;80
01/01/2023 10:42;49.09536833333333 6.501851666666667;54;80
01/01/2023 10:42;48.782915 6.568155;58;80
01/01/2023 10:42;48.496116666666666 3.5337983333333334;86;90
01/01/2023 10:42;48.497785 3.5438883333333333;88;90
01/01/2023 10:43;47.939476666666664 5.7965366666666664;95;90
01/01/2023 10:43;49.09917 6.4833316666666665;87;80
01/01/2023 10:43;49.09942 6.48285;88;80
01/01/2023 10:43;49.85235 4.620236666666667;79;80
01/01/2023 10:43;48.421355 7.297301666666667;91;80
01/01/2023 10:43;48.49784 3.5442183333333332;87;90
01/01/2023 10:43;48.499155 3.5485066666666665;86;90
01/01/2023 10:43;48.50178833333333 3.5535883333333333;96;90
01/01/2023 10:43;48.231925 -3.589855;76;80
01/01/2023 10:43;48.5235 5.89428;67;80
01/01/2023 10:44;47.94372833333333 5.819781666666667;94;90
01/01/2023 10:44;48.14498 4.2742933333333335;86;80
01/01/2023 10:44;48.142968333333336 4.280263333333333;62;80
01/01/2023 10:44;48.79296 6.599681666666667;75;70
01/01/2023 10:45;49.774791666666665 4.702431666666667;20;80
01/01/2023 10:45;48.79876 6.624826666666666;89;80
01/01/2023 10:45;48.213035 -3.5821266666666665;78;90
01/01/2023 10:46;49.77281166666667 4.7064699999999995;47;90
01/01/2023 10:46;49.772731666666665 4.706626666666667;47;90
01/01/2023 10:46;49.83673666666667 4.603678333333333;41;80
01/01/2023 10:46;49.83588666666667 4.60386;27;80
01/01/2023 10:46;48.80025333333333 6.638315;88;80
01/01/2023 10:46;48.72148 4.629605;76;80
01/01/2023 10:46;48.72000833333333 4.631021666666666;80;80
01/01/2023 10:46;48.511361666666666 3.6149283333333333;87;90
01/01/2023 10:46;48.19353666666667 -3.5714533333333334;66;80
01/01/2023 10:46;48.19998833333333 -3.5810133333333334;73;70
